"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"4785","3.290292497","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001c000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001d00000000000000010000001c000000ffffffffffffffffffffffff"
"4870","3.317033858","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef02580002020001000000001d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"4884","3.341712283","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001e00000000000000010000001c000000ffffffffffffffffffffffff"
"4885","3.341874787","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001e00000000000000010000001c000000ffffffffffffffffffffffff"
"4886","3.343060342","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001d000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001e00000000000000010000001c000000ffffffffffffffffffffffff"
"4995","3.367337430","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef02580002020001000000001e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"5085","3.393192606","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff"
"5086","3.393626962","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff"
"5087","3.394043764","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff"
"5116","3.400716362","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001e000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff"
"5190","3.475189333","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef02740002020001010000001f000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff"
"5191","3.475193564","192.168.169.2","192.168.169.1","UDP","270","43880  >  8800 Len=144","ef02900002020001020000001f000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff2000000000000000000000001c000000ffffffffffffff1fe0ffffff"
"5192","3.475196796","192.168.169.2","192.168.169.1","UDP","270","43880  >  8800 Len=144","ef029000020200010200000020000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00001f00000000000000010000001c000000ffffffffffffffffffffffff2000000000000000000000001c000000ffffffffffffff1fe0ffffff"
"5268","3.497074408","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000020000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002000000000000000010000001c000000ffffffffffffffffffffffff"
"5270","3.499189522","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000020000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002000000000000000010000001c000000ffffffffffffffffffffffff"
"5290","3.504090766","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000020000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002000000000000000010000001c000000ffffffffffffffffffffffff"
"5444","3.566645936","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000021000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"5445","3.566661933","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000021000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002100000000000000000000001c000000ffffffffffffffffefffffff"
"5448","3.576044015","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000022000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002100000000000000000000001c000000ffffffffffffffffefffffff"
"5559","3.601854587","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000022000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002100000000000000010000001c000000ffffffffffffffffffffffff"
"5651","3.626282815","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000023000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002200000000000000010000001c000000ffffffffffffffffffffffff"
"5748","3.652278573","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000023000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
"5778","3.678415660","192.168.169.2","192.168.169.1","UDP","242","43880  >  8800 Len=116","ef027400020200010100000024000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d00002300000000000000010000001c000000ffffffffffffffffffffffff"
"5888","3.705483264","192.168.169.2","192.168.169.1","UDP","214","43880  >  8800 Len=88","ef025800020200010000000024000000140066148080808000020000000000000000000002990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000"
