No,Time,Hex_Data
60,1.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c789000000000000010000001c000000ffffffffffffffffffffffff
60,1.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c789000000000000010000001c000000ffffffffffffffffffffffff
60,1.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c789000000000000010000001c000000ffffffffffffffffffffffff
40,32.0,ef0258000202000100000000ed0f0100080000000000a0bca32fe942d70442ae929bbe87de5aa8fa16c95859345e0fa52f9d2528ff1b182b2869c0566319382232f769ea78cd734dc97aebfb713e7740ababf10c40e0d5d9
40,62.0,ef0258000202000100000000ed0f010008000000000000000000000000000000000000000000000000000000000000000043e805febb0fae3a58a5c75c48be5962d18eac59fe619aa11b9f2b0b6960e26bccdf936e58dd38
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
70,0.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c889000000000000000000001c000000ffffffffffffff0700fcffff
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
70,3.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c889000000000000000000001c000000ffffffffffffffff03fcffff
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
60,1.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c889000000000000010000001c000000ffffffffffffffffffffffff
60,1.0,ef0274000202000101000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c889000000000000010000001c000000ffffffffffffffffffffffff
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ed0f0100080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ee0f0100140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000ee0f0100140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
70,0.0,ef0274000202000101000000ef0f0100140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000c989000000000000000000001c000000ffff01000000000000fcffff
50,0.0,ef0258000202000100000000ef0f0100140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000f00f0100140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
50,0.0,ef0258000202000100000000f00f0100140066147e808080000200000000000000000000fc990000000000000000000000000000000000000000000000000000000000000000000000000000000000000000324b142d0000
